LLSat2.ElapsedDays        LLSat2.GS_Point.X         LLSat2.GS_Point.Y         LLSat2.GS_Point.Z         LLSat4.GS_Point.X         LLSat4.GS_Point.Y         LLSat4.GS_Point.Z         
0                         -1535.579481891269        -3374.806931272634        -835.9307949246852        -1535.579481891269        -3374.806931272634        -835.9307949246852        
5.787036934634671e-05     -1512.409427767125        -3353.183403584513        -816.4667418463673        -1512.40942778109         -3353.183403597536        -816.4667418581221        
0.0001157407423306722     -1489.176377097023        -3331.469241500961        -797.1799254869527        -1489.176377152948        -3331.469241553113        -797.1799255338422        
0.0001736111116770189     -1465.881060876924        -3309.665128154451        -778.0709482859971        -1465.881061002903        -3309.665128271927        -778.0709483912035        
0.0002314814810233656     -1442.524212744592        -3287.771749132323        -759.1404071584052        -1442.524212968821        -3287.771749341411        -759.1404073449202        
0.0002893518503697123     -1419.106568721209        -3265.789792231787        -740.3888932785464        -1419.10656907198         -3265.789792558865        -740.3888935691631        
0.0003472222233540379     -1395.628867305234        -3243.719947554242        -721.8169921604344        -1395.628867810937        -3243.71994802578         -721.8169925777563        
0.0004050925927003846     -1372.091849220024        -3221.562907247108        -703.4252834474014        -1372.091849909151        -3221.562907889661        -703.4252840138299        
0.0004629629620467313     -1348.496257733391        -3199.319365834582        -685.2143411822822        -1348.496258634528        -3199.319366674797        -685.2143419200272        
0.0005208333350310568     -1324.84283846121         -3176.990020023019        -667.1847336445981        -1324.84283960304         -3176.990021087634        -667.1847345756721        
0.0005787037043774035     -1301.132339178245        -3154.575568494276        -649.3370231940216        -1301.13234058955         -3154.575569810114        -649.3370243402417        
0.0006365740737237502     -1277.365510129029        -3132.076712247164        -631.6717665340432        -1277.365511838687        -3132.076713841138        -631.671767917031         
0.0006944444430700969     -1253.54310378176         -3109.494154335171        -614.189514508111         -1253.543105818746        -3109.49415623428         -614.1895161492916        
0.0007523148160544224     -1229.665874735575        -3086.828600906368        -596.8908126394581        -1229.665877128959        -3086.828603137702        -596.8908145600583        
0.0008101851854007691     -1205.734580195173        -3064.080757170538        -579.7761990676988        -1205.734582974124        -3064.08075976127         -579.7762012887486        
0.0008680555547471158     -1181.749979195205        -3041.251333394184        -562.8462076092702        -1181.749982388985        -3041.251336371577        -562.8462101516043        
0.0009259259277314413     -1157.712833134026        -3018.34104093388         -546.1013657304874        -1157.712836771993        -3018.341044325279        -546.1013686147438        
0.000983796297077788      -1133.623905409317        -2995.350592952936        -529.5421948670623        -1133.623909520922        -2995.350596785775        -529.5421981136825        
0.001041666666424135      -1109.483961713765        -2972.280704793229        -513.1692106766973        -1109.483966328556        -2972.280709095028        -513.1692143059222        
0.001099537035770481      -1085.293769798073        -2949.132093692282        -496.9829228446154        -1085.293774945688        -2949.132098490642        -496.9829268764935        
0.001157407408754807      -1061.054099550335        -2925.905478893437        -480.9838351550021        -1061.054105260509        -2925.905484216047        -480.9838396093846        
0.001215277778101154      -1036.765722766893        -2902.601581351798        -465.1724453036035        -1036.765729069452        -2902.601587226427        -465.1724502001422        
0.0012731481474475        -1012.429413435891        -2879.221124119209        -449.549245141125         -1012.429420360754        -2879.22113057371         -449.5492504992776        
0.001331018516793847      -988.0459475077108        -2855.764832052231        -434.1147204859759        -988.045955084891         -2855.764839114538        -434.1147263250019        
0.001388888889778173      -963.6161029704908        -2832.23343192701         -418.8693511934339        -963.6161112300896        -2832.233439625141        -418.8693575323981        
0.001446759259124519      -939.1406596265208        -2808.627652133638        -403.8136109738885        -939.1406685987334        -2808.627660495692        -403.8136178316587        
0.001504629628470866      -914.6203992365589        -2784.948224010219        -388.9479680444306        -914.62040895167          -2784.948233064374        -388.9479754396792        
0.001562500001455192      -890.0561058699395        -2761.195877885299        -374.2728833256359        -890.0561163583238        -2761.195887659814        -374.2728912768404        
0.001620370370801538      -865.4485649396134        -2737.37134842349         -359.7888128041865        -865.448576231737         -2737.371358946703        -359.7888213296262        
0.001678240740147885      -840.7985640030201        -2713.475371311898        -345.4962060944956        -840.7985761294383        -2713.475382612227        -345.4962152122553        
0.001736111109494232      -816.1068924084484        -2689.508683880836        -331.3955066801925        -816.1069053998046        -2689.508695986773        -331.3955164081632        
0.001793981482478557      -791.3743413645398        -2665.472025227803        -317.4871519799617        -791.3743552515663        -2665.472038167922        -317.4871623358418        
0.001851851851824904      -766.6017037277688        -2641.366135893463        -303.7715731767815        -766.6017185412884        -2641.366149696411        -303.7715841780704        
0.001909722221171251      -741.7897742597918        -2617.191758292032        -290.2491954419864        -741.7897900307119        -2617.191772986531        -290.2492071059924        
0.001967592594155576      -716.9393494577891        -2592.949636463333        -276.9204378009944        -716.9393662171045        -2592.949652078184        -276.9204501448337        
0.002025462963501923      -692.0512273952854        -2568.64051581813         -263.7857130080578        -692.0512451740771        -2568.640532382205        -263.7857260486518        
0.002083333332848269      -667.1262079697817        -2544.26514357681         -250.8454277629056        -667.1262267992176        -2544.265161119055        -250.8454415169844        
0.002141203702194616      -642.1650926947524        -2519.824268439951        -238.0999825449798        -642.1651126060874        -2519.824286989387        -238.0999970290798        
0.002199074075178942      -617.168684682257         -2495.318641568691        -225.5497720123449        -617.1687057068284        -2495.318661154408        -225.5497872428128        
0.002256944444525288      -592.1377887683996        -2470.749012852401        -213.1951834923308        -592.1378109376317        -2470.74903350356         -213.195199485322         
0.002314814813871635      -567.0732112564968        -2446.1161364513          -201.0365992217664        -567.0732346018976        -2446.116158197136        -201.0366159932444        
0.002372685186855961      -541.975760091395         -2421.42076714604         -189.0743948656805        -541.9757846445559        -2421.420790015856        -189.0744124314226        
