LLSat1.ElapsedDays        LLSat1.EarthFixed.PlanetodeticLAT   LLSat1.EarthFixed.PlanetodeticLON   LLSat1.Earth.Altitude     LLSat1.GS_Point.X         LLSat1.GS_Point.Y         LLSat1.GS_Point.Z         
0                         42.85891101609866                   45.62469973586951                   292.7076212316979         122.3683243110596         2854.694676687591         -349.2234676854937        
0.0002314814810233656     42.13489557936125                   47.05155094140638                   292.5943453172567         141.5931769494007         2987.108211105321         -414.1744439613677        
0.000917418521567015      39.87852498170954                   51.08067815769876                   292.2334902593366         199.7842516522167         3370.303272139604         -623.8768950608135        
0.001901307681691833      36.38870400139731                   56.37824817267989                   291.6694143137174         285.8362086921433         3893.310574968265         -968.1495616321606        
0.002924722750321962      32.49857301666892                   61.36022145351023                   291.0603449612308         377.4444189747891         4399.502089661912         -1377.603166860179        
0.003952592331188498      28.37961593025413                   65.90857152638884                   290.4681058148617         470.229869464868          4864.196858049087         -1837.593296018914        
0.00498082392005017       24.09272645776089                   70.08568928448595                   289.9376157642746         562.372156514494          5280.711843007398         -2342.139378621877        
0.006008978747559013      19.67752752176997                   73.96565100027541                   289.5089175182793         652.3358336532792         5644.802482270963         -2886.108284282916        
0.007037008243059972      15.16580923361946                   77.61618461007896                   289.2171937296534         738.6057928189566         5952.94808101477          -3464.137630962759        
0.008064950819971273      10.58429424478889                   81.09808483744715                   289.0912897786111         819.6812284039218         6202.221831727727         -4070.577534640777        
0.009092836080526467      5.956418466183468                   84.46636549026016                   289.152358150558          894.0887073668814         6390.280001175061         -4699.498321467529        
0.01012070098295226       1.303416421039221                   87.77204582682418                   289.4127892382958         960.4049982604724         6515.388165608062         -5344.757086746042        
0.01114860521920491       -3.354752609657504                  91.0639588737572                    289.8755464134247         1017.278744417668         6576.435340631153         -6000.067522943173        
0.01217658855239279       -7.998302357476601                  94.39036661951633                   290.5338933536186         1063.448058983063         6572.937862294363         -6659.033503148916        
0.01320470320570166       -12.60687684449492                  97.80081132179312                   291.3715695841829         1097.761967843656         6505.045637924391         -7315.230644348857        
0.01423300659371307       -17.15857723050454                  101.3478534662267                   292.3633782082516         1119.197902706793         6373.536249002701         -7962.26296479528         
0.01526152681253734       -21.6287510986805                   105.0887106453048                   293.4761264246026         1126.878198116651         6179.811556898207         -8593.802283472589        
0.01629030791082187       -25.98894792313333                  109.0870868016788                   294.6699937542298         1120.0867902976           5925.878376385226         -9203.677430028558        
0.01731936825308367       -30.20524613198749                  113.4143767005134                   295.9001080918069         1098.282778640407         5614.33607877895          -9785.908401461827        
0.01834873343250365       -34.23662741551878                  118.1503208552339                   297.1184254554473         1061.112363964588         5248.343722614451         -10334.78410464737        
0.01937840237587807       -38.03286103755684                  123.3815831882174                   298.2756792595319         1008.419600963631         4831.599878704131         -10844.89965297695        
0.02040837318781996       -41.53266753562639                  129.1971243536925                   299.323463529             940.2534439618057         4368.298654660155         -11311.22461489506        
0.02143861875811126       -44.66233626657253                  135.6774870424216                   300.216239303556          856.8744012250418         3863.09915552777          -11729.14253801256        
0.02246911218026071       -47.33631176278634                  142.8760339815828                   300.9132885146873         758.7555535039273         3321.068703432572         -12094.51034317426        
0.02349980133294594       -49.46113158530174                  150.7911882804674                   301.3804379386083         646.5845017188976         2747.645259152607         -12403.69203510873        
0.02453063436041703       -50.94472017008398                  159.3361517746405                   301.5915667339777         521.2579438959019         2148.569971171828         -12653.60717297615        
0.02556155271304306       -51.71088247843619                  168.3208486689902                   301.5297664470036         383.8758875748272         1529.832193104379         -12841.76063373712        
0.02659249489806825       -51.7156431306263                   177.4660454428381                   301.1881403164562         235.7318965709428         897.6062085557375         -12966.27019857592        
0.02762338439788437       -50.95852017385919                  -173.5438049829765                  300.5702087359741         78.30276139642683         258.1955327752405         -13025.88648498101        
0.02865414641200914       -49.48266616969647                  -164.9891921042031                  299.6898867859345         -86.76877329769195        -382.0420660392519        -13020.01027994121        
0.02968473027794971       -47.36372219018813                  -157.0618447916592                  298.5710082047808         -257.6956567198768        -1016.774040699982        -12948.69655871474        
0.03071505212938064       -44.69362148157198                  -149.8504170967086                  297.246528593455          -432.5572699608101        -1639.722641885622        -12812.65654281692        
0.03174507920266478       -41.56581858904558                  -143.3574837683663                  295.7572016844942         -609.33568232368          -2244.78028321684         -12613.2428458554         
0.03277474921196699       -38.06616498156444                  -137.5305116161258                  294.1501227679682         -785.926098166643         -2826.022465843415        -12352.44405485109        
0.03380403533446952       -34.26863260153015                  -132.2891471010716                  292.4768206924255         -960.1733418494641        -3377.805282129708        -12032.85233984004        
0.03483291681550327       -30.23484412035799                  -127.5444788533584                  290.7912897907509         -1129.893220640828        -3894.802938965553        -11657.63979899702        
0.03586138229729841       -26.01533570125322                  -123.209722610912                   289.1478721188523         -1292.900161081777        -4372.061226007784        -11230.52461271046        
0.03688942802182282       -21.65149456447326                  -119.2050486263417                  287.5991273879827         -1447.034375737151        -4805.043987776322        -10755.73330639845        
0.03791708371500135       -17.1774200600144                   -115.4588145853135                  286.1937361374803         -1590.192848813499        -5189.685049811909        -10237.94404569694        
0.03894437572307652       -12.62184352024671                  -111.9072108701811                  284.9746598563988         -1720.350388766803        -5522.408303665773        -9682.254987129418        
0.03997135295867338       -8.009510466630612                  -108.4928167469067                  283.9774495849397         -1835.589245737906        -5800.16858348558         -9094.12025533351         
0.04099805428631953       -3.362572345750316                  -105.163041176202                   283.2289349920447         -1934.120257462795        -6020.467595126926        -8479.313736375305        
