LLSat1.ElapsedDays        LLSat1.GS_Point.X         LLSat1.GS_Point.Y         LLSat1.GS_Point.Z         LLSat2.GS_Point.X         LLSat2.GS_Point.Y         LLSat2.GS_Point.Z         LLSat3.GS_Point.X         LLSat3.GS_Point.Y         LLSat3.GS_Point.Z         LLSat4.GS_Point.X         LLSat4.GS_Point.Y         LLSat4.GS_Point.Z         LLSat5.GS_Point.X         LLSat5.GS_Point.Y         LLSat5.GS_Point.Z         
0                         -975.9843146300152        2665.280110906029         -352.6010043137581        -1535.579481890776        -3374.806931272177        -835.9307949242693        -975.9842448168969        2665.280004396996         -352.6009460181402        -1535.579481890776        -3374.806931272177        -835.9307949242693        -975.9842448168969        2665.280004396996         -352.6009460181402        
0.0002314814810233656     -1049.852787452439        2777.961912264665         -416.1170541416024        -1442.524212744095        -3287.771749131858        -759.1404071580057        -1049.852717990623        2777.961806569922         -416.1169927931643        -1442.524212968324        -3287.771749340947        -759.1404073445179        -1049.852717866475        2777.961806380179         -416.1169926874533        
0.0005923560165683739     -1163.367496600946        2951.191929299817         -521.1345260284961        -1295.530508576205        -3149.275400052892        -645.1531126850892        -1163.3674267544          2951.191823441373         -521.1344590865788        -1295.530510055286        -3149.275401431917        -645.1531138852256        -1163.367425948229        2951.191822205205         -521.1344583789794        
0.001086826381651917      -1315.427412337493        3183.38104912138          -676.6829002393813        -1090.611173750868        -2954.223168025866        -500.5220559836018        -1315.427340162397        3183.380940240368         -676.6828238742112        -1090.61117877891         -2954.223172712796        -500.5220599253407        -1315.427337482608        3183.380936112413         -676.6828214246116        
0.001582340912136715      -1463.460794760404        3409.57278570809          -845.7470142760639        -881.6242195514446        -2753.035709487811        -369.285464896272         -1463.460718235586        3409.572670622109         -845.7469262846084        -881.6242303119582        -2753.03571951583         -369.2854730423199        -1463.460712633736        3409.572661952449         -845.7469209578194        
0.002101470934576355      -1613.518479425367        3639.003263901367         -1036.602397827414        -659.3067971671377        -2536.611952577843        -246.8297970641585        -1613.518396279841        3639.003139008213         -1036.602295164003        -659.3068163323013        -2536.611970432646        -246.8298110452877        -1613.518386555328        3639.00312388191          -1036.602285540358        
0.002630671697261278      -1760.815159706729        3864.339261340094         -1245.130679823737        -429.7124428096042        -2310.588189855671        -138.1454783928156        -1760.815067760906        3864.339123098466         -1245.130559453864        -429.7124731334756        -2310.588218094485        -138.1454996864273        -1760.815052786694        3864.339099682093         -1245.130544044317        
0.003167529830534477      -1904.015749789391        4083.502169520058         -1470.527201074811        -194.3699000218693        -2076.311830775014        -44.83192622353987        -1904.015646939771        4083.502014433817         -1470.52705981243         -194.3699444034994        -2076.311872082794        -44.83195619605029        -1904.015625638702        4083.501980936705         -1470.527037045804        
0.003724849535501562      -2045.651544970698        4300.31662931966          -1718.619589610603        51.8269438886915          -1828.452379401119        33.72277569622599         -2045.651428854402        4300.31645340307          -1718.619423483583        51.82688193008033         -1828.452437027884        33.72273552405413         -2045.651400006097        4300.31640776246          -1718.619391477646        
0.004311074928409653      -2186.500444992568        4515.903008497102         -1994.297458995783        312.0572140122311         -1563.376142834435        95.97792774216246         -2186.500312959784        4515.902807190204         -1994.297263216554        312.0571302139862         -1563.3762207014          95.97787569616635         -2186.500275193598        4515.902747042476         -1994.297219738745        
0.00493001910217572       -2325.714735299564        4728.855584478032         -2300.766569088561        587.2663071007031         -1279.542978584695        138.830881329125          -2325.714584476574        4728.855352700575         -2300.766338163785        587.2661964367925         -1279.543081289838        138.8308156446607         -2325.714536311113        4728.855275424164         -2300.766280661081        
0.005624463545245817      -2469.763746807855        4948.874781511546         -2662.105697747686        895.3380565379457         -957.4259893975976        158.7697824187547         -2469.763572704913        4948.874511290676         -2662.105422841268        895.3379109779007         -957.4261242581533        158.7697002797953         -2469.76351179114         4948.87441270659          -2662.105347348702        
0.006318907988315914      -2600.431342450429        5147.88088356707          -3040.351749444525        1201.243145808424         -632.7672926357025        148.8831077868523         -2600.431142949306        5147.880570564639         -3040.351425971367        1201.242960218832         -632.7674642206291        148.8830081461525         -2600.431068254009        5147.880448558542         -3040.351330228953        
0.00701335243502399       -2717.231427548302        5324.90613848408          -3433.785785839601        1503.511165386019         -306.9489459647439        109.2346254390244         -2717.231200675167        5324.905778413196         -3433.785409487889        1503.510934521278         -306.9491588634372        109.2345073666593         -2717.231111243305        5324.905630910465         -3433.785291381233        
0.007707796878094086      -2819.751852269294        5479.076697284615         -3840.619533404538        1800.679548027248         18.65052753552158         40.02436193326889         -2819.751596113526        5479.076285770807         -3840.619100142514        1800.679266521309         18.65026872497373         40.02422454373914         -2819.75149102766         5479.076110667914         -3840.618957704185        
0.008402241324802162      -2907.655829372498        5609.617116055677         -4259.003522962552        2091.300688642087         342.6619024712521         -58.41224002403874        -2907.655541999695        5609.616648486611         -4259.003029010973        2091.30035099022          342.6615931458714         -58.41239765476689        -2907.655420337113        5609.6164435777           -4259.002860404918        
0.009096685767872259      -2980.682940441096        5715.854463608118         -4687.035561318923        2373.949060910543         663.7309734016093         -185.6057852745676        -2980.682619804362        5715.853934978436         -4687.035003091108        2373.948661437175         663.7306089449012         -185.6059641996649        -2980.682480593817        5715.853697880295         -4687.034806580665        
0.009791130210942356      -3038.649764006781        5797.22196553898          -5122.76945911493         2647.22828060424          980.5241681719783         -340.9550096422856        -3038.649407859634        5797.221370295796         -5122.768833127458        2647.227813412433         980.5237439275452         -340.9552111378325        -3038.649250039279        5797.221098373849         -5122.768607027908        
