LLSat1.ElapsedDays        LLSat1.EarthMJ2000Eq.BrouwerShortSMA   LLSat7.EarthMJ2000Eq.BrouwerShortSMA   LLSat3.EarthMJ2000Eq.BrouwerShortSMA   
0                         6659.131067856833                      6659.131067856833                      6659.131067856832                      
0.0002314814810233656     6659.123165414642                      6659.123131306515                      6659.12307723206                       
0.0005924051110923756     6659.111135749511                      6659.111048556183                      6659.110909778393                      
0.001081332611647667      6659.095597704293                      6659.09543891357                       6659.095184765913                      
0.001590852632944006      6659.0806157611                        6659.080382944656                      6659.080008050111                      
0.002194429533119546      6659.064875057108                      6659.0645556261                        6659.06403744917                       
0.002896136782510439      6659.049866263898                      6659.049448006675                      6659.048763612403                      
0.003646121811470948      6659.038343204485                      6659.037821927509                      6659.0369611463                        
0.004573521862766938      6659.03123427107                       6659.030589575576                      6659.02951341135                       
0.005646853293001186      6659.033303117425                      6659.032520728178                      6659.03119934824                       
0.006900396580022061      6659.049166344278                      6659.048228439966                      6659.046624472888                      
0.008177898442227161      6659.077985179062                      6659.076891632842                      6659.074999856181                      
0.009608475691493368      6659.120636963131                      6659.119368332312                      6659.117149071272                      
0.01095615480880952       6659.165054392176                      6659.163616909615                      6659.161081670558                      
0.01228873608488357       6659.207311473289                      6659.205702273744                      6659.202849958606                      
0.01366523497199523       6659.244162779599                      6659.242372851427                      6659.239195946213                      
0.01500800505164079       6659.26993291588                       6659.267967081667                      6659.264486540438                      
0.0163052130046708        6659.283593274692                      6659.28146181877                       6659.277707972228                      
0.01758143404731527       6659.28610383041                       6659.283816118742                      6659.279815432546                      
0.01888141678864486       6659.278517629319                      6659.276078033351                      6659.271846106013                      
0.02022836793548777       6659.261769721274                      6659.259178965056                      6659.254722773785                      
0.02157350779816625       6659.238402749697                      6659.235664953538                      6659.230993257638                      
0.02291972481179982       6659.210815114149                      6659.207932435836                      6659.203048501108                      
0.0242866739135934        6659.180785423865                      6659.177758160705                      6659.172661150077                      
0.02564259505743394       6659.150950821268                      6659.147784672877                      6659.142481498394                      
0.02654668080140254       6659.131871123117                      6659.128616239521                      6659.123180694854                      
0.02756405805848772       6659.1118329365                        6659.108482813204                      6659.102904844413                      
0.02856455914661638       6659.09417504781                       6659.090736593305                      6659.08502615927                       
0.02975419435097137       6659.076590808852                      6659.073054117042                      6659.067195891554                      
0.03110874154663179       6659.062110016779                      6659.058469235442                      6659.052453677206                      
0.03242615753697464       6659.054596966978                      6659.050860683949                      6659.044699778749                      
0.03372810322616715       6659.054004835327                      6659.05017712379                       6659.043875865375                      
0.03511212512603379       6659.060589868875                      6659.056665207192                      6659.050213781288                      
0.03606537582163583       6659.068864097738                      6659.064871204871                      6659.05831349633                       
0.03703753147055977       6659.079664780019                      6659.075599898371                      6659.068929857852                      
0.03815918112013605       6659.093882670811                      6659.089730284947                      6659.082924180439                      
0.03938830503466306       6659.109768510793                      6659.105512981703                      6659.098547974063                      
0.04062855081429007       6659.123986956331                      6659.11961778948                       6659.11248011208                       
0.04191196177998791       6659.134807998666                      6659.130309401151                      6659.122977999006                      
0.04329882056845236       6659.140674156166                      6659.136020771628                      6659.12846068653                       
0.0446032032596122        6659.140646071456                      6659.135832472079                      6659.128037458428                      
0.04593139378994238       6659.136498807734                      6659.131508019672                      6659.123453522751                      
0.04728446086664917       6659.130674955237                      6659.12549074316                       6659.117151796311                      
0.04869264066292089       6659.126526489189                      6659.121130089617                      6659.112476290232                      
0.05005740849810536       6659.127691444772                      6659.122082498305                      6659.1131093608                        
0.05140646116342396       6659.135908587747                      6659.130086759869                      6659.120789313803                      
0.05275575887208106       6659.15130327256                       6659.145269467488                      6659.135644855953                      
0.05408292315041763       6659.171519312778                      6659.16528079896                       6659.155337348399                      
0.05540758805364021       6659.192984887997                      6659.186547182113                      6659.17629239637                       
0.05682593636811362       6659.211860829302                      6659.205214970465                      6659.194635272718                      
0.05821676415507682       6659.220450008789                      6659.213602803414                      6659.202709908899                      
0.05957765482526156       6659.214934560367                      6659.20789003993                       6659.196690768984                      
0.06093970626898226       6659.193645926348                      6659.18640151385                       6659.174890805677                      
0.06228365751667297       6659.158145387296                      6659.150701310014                      6659.13887596192                       
0.06359886879727128       6659.113126894539                      6659.105487398624                      6659.093347861397                      
0.06491040542823612       6659.063768288829                      6659.05593776805                       6659.043482798855                      
0.06624725220171968       6659.015774086495                      6659.007756621333                      6658.994983705992                      
0.06760923506953986       6658.976340155653                      6658.968142170222                      6658.955053309913                      
0.06892943203274626       6658.952582392008                      6658.944217997644                      6658.930830480822                      
0.07029424310167087       6658.946017735278                      6658.937486804176                      6658.923794013527                      
0.0716031999218103        6658.956928011868                      6658.948238504723                      6658.934250475102                      
0.07292258642337401       6658.982344274746                      6658.973492378166                      6658.959200050631                      
0.07431366189848632       6659.019721908776                      6659.010693704558                      6658.996072997755                      
0.07570642714563292       6659.061499222097                      6659.052289535765                      6659.037337972557                      
0.07702887413688586       6659.099241976296                      6659.089858220853                      6659.074600036275                      
0.07837296399156912       6659.130906305211                      6659.121348111985                      6659.105795518504                      
0.07976099581719609       6659.153334786135                      6659.143602955398                      6659.127770634184                      
0.08109381204121746       6659.163954440469                      6659.154063626412                      6659.137985663978                      
0.08243833497181186       6659.164469725712                      6659.15442527638                       6659.138117060336                      
0.08380476009551785       6659.156381111362                      6659.146185128508                      6659.129653661701                      
0.08512897287437227       6659.142591012733                      6659.132250722367                      6659.115507582216                      
0.08643118895270163       6659.12548862305                       6659.115008614421                      6659.098059711459                      
0.08775395231350558       6659.106298038475                      6659.095679848324                      6659.078525940821                      
