Theta[deg],Phi[deg],dB(RealizedGainLHCP)
250,70,-0.910647
260,70,-1.60789
270,70,-2.39433
280,70,-3.07981
290,70,-3.58098
300,70,-4.02727
310,70,-4.71351
320,70,-5.93647
330,70,-7.75085
340,70,-9.36126
350,70,-9.19588
360,70,-7.91829
0,80,-7.91829
10,80,-7.63872
20,80,-8.45149
30,80,-10.7053
40,80,-14.9129
50,80,-22.1174
60,80,-31.6277
70,80,-32.1516
80,80,-22.305
90,80,-14.86
100,80,-10.2401
110,80,-7.2247
120,80,-5.16687
130,80,-3.64106
140,80,-2.35979
150,80,-1.22237
160,80,-0.306921
170,80,0.249402
180,80,0.358596
190,80,0.0331668
200,80,-0.572148
210,80,-1.16238
220,80,-1.50297
230,80,-1.68118
240,80,-1.97501
250,80,-2.54927
260,80,-3.36491
270,80,-4.22663
280,80,-4.89092
290,80,-5.25029
300,80,-5.46616
310,80,-5.86791
320,80,-6.72365
330,80,-7.98571
340,80,-8.94304
350,80,-8.7243
360,80,-7.91829
0,90,-7.91829
10,90,-8.18662
20,90,-9.61327
30,90,-12.7594
40,90,-18.6762
50,90,-24.7471
60,90,-21.2883
70,90,-21.9561
80,90,-29.4144
90,90,-19.1019
100,90,-12.2257
110,90,-8.27904
120,90,-5.67923
130,90,-3.78601
140,90,-2.27383
150,90,-1.03474
160,90,-0.118483
170,90,0.371515
180,90,0.358596
190,90,-0.164636
200,90,-1.08227
210,90,-2.09282
220,90,-2.82499
230,90,-3.22008
240,90,-3.57762
250,90,-4.15328
260,90,-4.9598
270,90,-5.80711
280,90,-6.42885
290,90,-6.69594
300,90,-6.76369
310,90,-6.94427
320,90,-7.4454
330,90,-8.14656
340,90,-8.52995
350,90,-8.27987
360,90,-7.91829
0,100,-7.91829
10,100,-8.79321
20,100,-10.9998
30,100,-15.2526
40,100,-20.1723
50,100,-16.9338
60,100,-14.3192
70,100,-14.5601
80,100,-18.3576
90,100,-43.1903
100,100,-17.1815
110,100,-10.6181
120,100,-6.9014
130,100,-4.34246
140,100,-2.4158
150,100,-0.959537
160,100,0.0241831
170,100,0.480313
180,100,0.358596
190,100,-0.356395
200,100,-1.59021
210,100,-3.06293
220,100,-4.25316
230,100,-4.83522
240,100,-5.09678
250,100,-5.46075
260,100,-6.0554
270,100,-6.74957
280,100,-7.31233
290,100,-7.60622
300,100,-7.70905
310,100,-7.8186
320,100,-8.03241
330,100,-8.2092
340,100,-8.11961
350,100,-7.86515
360,100,-7.91829
0,110,-7.91829
10,110,-9.44395
20,110,-12.6384
30,110,-18.0251
40,110,-17.5979
50,110,-12.9909
60,110,-10.8382
70,110,-10.6649
80,110,-12.378
90,110,-16.6919
100,110,-21.0631
110,110,-13.7709
120,110,-8.56752
130,110,-5.1338
140,110,-2.68283
150,110,-0.95027
160,110,0.13468
170,110,0.576266
180,110,0.358596
190,110,-0.532146
200,110,-2.05981
210,110,-3.99783
220,110,-5.704
230,110,-6.4375
240,110,-6.40617
250,110,-6.32797
260,110,-6.51392
270,110,-6.92102
280,110,-7.39443
290,110,-7.81568
300,110,-8.15132
310,110,-8.38686
320,110,-8.42673
330,110,-8.15911
340,110,-7.71068
350,110,-7.48171
360,110,-7.91829
0,120,-7.91829
10,120,-10.1162
20,120,-14.528
30,120,-19.6892
40,120,-14.5556
50,120,-10.5053
60,120,-8.59949
70,120,-8.11412
80,120,-8.80099
90,120,-10.6695
100,120,-13.5648
110,120,-14.1027
120,120,-9.89084
130,120,-5.85898
140,120,-2.93597
150,120,-0.949198
160,120,0.230037
170,120,0.660516
180,120,0.358596
190,120,-0.683022
200,120,-2.4583
210,120,-4.81697
220,120,-7.08182
230,120,-7.98265
240,120,-7.51243
250,120,-6.84662
260,120,-6.52466
270,120,-6.57729
280,120,-6.91808
290,120,-7.46458
300,120,-8.11124
310,120,-8.61466
320,120,-8.59782
330,120,-7.9935
340,120,-7.30364
350,120,-7.13099
360,120,-7.91829
0,130,-7.91829
10,130,-10.7766
20,130,-16.5113
30,130,-18.0991
40,130,-11.9103
50,130,-8.55134
60,130,-6.88853
70,130,-6.28815
80,130,-6.52233
90,130,-7.57004
100,130,-9.46095
110,130,-11.3403
120,130,-9.8802
130,130,-6.14965
140,130,-3.02549
150,130,-0.898679
160,130,0.326866
170,130,0.734254
180,130,0.358596
190,130,-0.802023
200,130,-2.76159
210,130,-5.44956
220,130,-8.27806
230,130,-9.48646
240,130,-8.58029
250,130,-7.30751
260,130,-6.47836
270,130,-6.17165
280,130,-6.34047
290,130,-6.93199
300,130,-7.81594
310,130,-8.58131
320,130,-8.55928
330,130,-7.72379
340,130,-6.90209
350,130,-6.81481
360,130,-7.91829
0,140,-7.91829
10,140,-11.3796
20,140,-17.9851
30,140,-15.0926
40,140,-9.59445
50,140,-6.76479
60,140,-5.35651
70,140,-4.83702
80,140,-5.0003
90,140,-5.81796
100,140,-7.31479
110,140,-9.0264
120,140,-8.7074
130,140,-5.78909
140,140,-2.84169
150,140,-0.755681
160,140,0.437396
170,140,0.798109
180,140,0.358596
190,140,-0.884473
200,140,-2.95776
210,140,-5.85512
220,140,-9.18072
230,140,-10.9869
240,140,-9.86634
250,140,-8.0593
260,140,-6.76399
270,140,-6.11038
280,140,-6.07163
290,140,-6.60971
300,140,-7.57976
310,140,-8.45587
320,140,-8.3688
330,140,-7.37596
340,140,-6.5137
350,140,-6.5357
360,140,-7.91829
0,150,-7.91829
10,150,-11.8713
20,150,-18.0463
30,150,-12.4473
40,150,-7.61072
50,150,-5.09862
60,150,-3.8818
70,150,-3.51537
80,150,-3.79677
90,150,-4.64338
100,150,-5.97014
110,150,-7.27274
120,150,-7.03471
130,150,-4.8372
140,150,-2.35972
150,150,-0.504124
160,150,0.56633
170,150,0.85168
180,150,0.358596
190,150,-0.928123
200,150,-3.04691
210,150,-6.03571
220,150,-9.71436
230,150,-12.4483
240,150,-11.62
250,150,-9.41163
260,150,-7.68483
270,150,-6.68329
280,150,-6.39705
290,150,-6.78658
300,150,-7.66876
310,150,-8.41077
320,150,-8.10284
330,150,-6.98644
340,150,-6.15024
350,150,-6.29712
360,150,-7.91829
0,160,-7.91829
10,160,-12.2
20,160,-16.8308
30,160,-10.4202
40,160,-6.00283
50,160,-3.64596
60,160,-2.51331
70,160,-2.22857
80,160,-2.59106
90,160,-3.45233
100,160,-4.58542
110,160,-5.42692
120,160,-5.08231
130,160,-3.50407
140,160,-1.64124
150,160,-0.159004
160,160,0.70939
170,160,0.893295
180,160,0.358596
190,160,-0.932942
200,160,-3.03741
210,160,-6.02671
220,160,-9.89312
230,160,-13.6887
240,160,-13.9909
250,160,-11.6101
260,160,-9.46995
270,160,-8.10325
280,160,-7.52277
290,160,-7.66103
300,160,-8.24552
310,160,-8.53912
320,160,-7.82248
330,160,-6.59529
340,160,-5.82672
350,160,-6.10334
360,160,-7.91829
0,170,-7.91829
10,170,-12.3323
20,170,-15.2803
30,170,-8.94434
40,170,-4.79193
50,170,-2.49879
60,170,-1.36103
70,170,-1.03902
80,170,-1.32376
90,170,-2.01815
100,170,-2.83252
110,170,-3.30985
120,170,-3.0215
130,170,-2.02709
140,170,-0.799872
150,170,0.239144
160,170,0.853874
170,170,0.92005
180,170,0.358596
190,170,-0.900749
200,170,-2.94069
210,170,-5.8698
220,170,-9.80624
230,170,-14.4976
240,170,-16.9128
250,170,-14.8031
260,170,-12.2754
270,170,-10.542
280,170,-9.61858
290,170,-9.35181
300,170,-9.31961
310,170,-8.80238
320,170,-7.556
330,170,-6.24043
340,170,-5.56008
350,170,-5.9593
360,170,-7.91829
0,180,-7.91829
10,180,-12.2654
20,180,-13.9032
30,180,-7.92897
40,180,-3.96873
50,180,-1.70081
60,180,-0.509745
70,180,-0.0673203
80,180,-0.150207
90,180,-0.547048
100,180,-1.00823
110,180,-1.25958
120,180,-1.12023
130,180,-0.622163
140,180,0.0382937
150,180,0.635397
160,180,0.98091
170,180,0.928131
180,180,0.358596
190,180,-0.834823
200,180,-2.76755
210,180,-5.58827
220,180,-9.51757
230,180,-14.8311
240,180,-20.1
250,180,-18.9042
260,180,-15.9619
270,180,-13.9626
280,180,-12.6618
290,180,-11.6919
300,180,-10.5762
310,180,-9.02457
320,180,-7.31008
330,180,-5.95614
340,180,-5.36802
350,180,-5.87028
360,180,-7.91829
0,190,-7.9183
10,190,-12.0262
20,190,-12.8034
30,190,-7.29443
40,190,-3.50475
50,190,-1.25625
60,190,0.000684841
70,190,0.593086
80,190,0.751334
90,190,0.667011
100,190,0.507256
110,190,0.400631
120,190,0.41413
130,190,0.549518
140,190,0.761634
150,190,0.971893
160,190,1.06863
170,190,0.913349
180,190,0.358596
190,190,-0.739594
200,190,-2.52755
210,190,-5.18262
220,190,-8.98762
230,190,-14.5545
240,190,-23.1862
250,190,-23.9294
